covid19,57,,boost,79
booster,53,,covid19,57
health,40,,dos,41
dr,31,,heal,40
pregnant,27,,work,38
risk,26,,hospit,38
boosters,25,,stat,38
dose,25,,pregn,35
employees,24,,risk,33
workers,22,,dr,31
medical,21,,employ,29
care,21,,med,25
cdc,21,,receiv,24
disease,18,,car,22
pfizer,18,,requir,21
staff,17,,cdc,21
received,17,,pfiz,21
pandemic,16,,mand,20
doses,16,,staff,19
unvaccinated,15,,diseas,19
moderna,15,,shot,17
state,15,,condit,17
conditions,14,,pandem,16
pfizerbiontech,13,,sev,16
mandate,13,,prev,15
work,12,,unvaccin,15
severe,12,,modern,15
johnson,12,,saf,14
hospitalizations,12,,protect,14
shots,11,,immun,14
children,11,,fda,14
requirement,10,,pfizerbiontech,13
safe,9,,childr,12
fda,9,,johnson,12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
pregnancy,8,,,
,,,,
,,,,
,,,,
,,,,
,,,,
emergency,8,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
myocarditis,8,,,
,,,,
,,,,
,,,,
states,8,,,
,,,,
,,,,
hospitals,8,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
benefits,7,,,
risks,7,,,
hospitalized,7,,,
deaths,7,,,
infection,7,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
immunocompromised,7,,,
,,,,
,,,,
,,,,
protection,7,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
prevention,6,,,
hospital,6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
shot,6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
vaccinations,6,,,
students,6,,,
teachers,6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
hospitalization,5,,,
,,,,
,,,,
,,,,
,,,,
immunization,5,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
important,5,,,
,,,,
,,,,
,,,,
,,,,
,,,,
breakthrough,5,,,
,,,,
,,,,
,,,,
,,,,
best,5,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
recommending,5,,,